,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Metro,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
15,1.0,0.0,3.0,0.0,1.0,21531.0,2532.0,221.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.0,1.0,0.0,0.0,1.0,16758.0,774.0,160.0,360.0,1.0,1.0,0.0,1.0,0.0,0.0
17,0.0,0.0,2.0,0.0,0.0,50831.0,0.0,181.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,1.0,0.0,1.0,0.0,20592.0,2135.0,166.0,120.0,-1.0,1.0,0.0,0.0,1.0,0.0
19,1.0,0.0,2.0,1.0,0.0,18457.0,1775.0,29.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0
20,0.0,0.0,1.0,0.0,1.0,30012.0,13508.0,186.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0
21,1.0,0.0,2.0,1.0,0.0,23196.0,2139.0,53.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0
22,0.0,1.0,0.0,0.0,1.0,21887.0,0.0,104.0,240.0,1.0,0.0,0.0,1.0,0.0,0.0
23,0.0,1.0,3.0,0.0,0.0,9769.0,1260.0,231.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
24,0.0,0.0,0.0,0.0,0.0,30731.0,9239.0,126.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
25,1.0,0.0,2.0,0.0,1.0,32381.0,0.0,189.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0
26,1.0,0.0,3.0,1.0,1.0,8991.0,0.0,199.0,360.0,1.0,1.0,0.0,1.0,0.0,0.0
27,0.0,1.0,3.0,0.0,1.0,26110.0,0.0,149.0,120.0,1.0,1.0,0.0,1.0,0.0,0.0
28,0.0,0.0,2.0,1.0,0.0,11437.0,0.0,82.0,120.0,1.0,1.0,0.0,1.0,0.0,0.0
29,0.0,0.0,3.0,0.0,1.0,27540.0,1526.0,91.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
30,1.0,1.0,3.0,0.0,0.0,14910.0,1835.0,117.0,360.0,1.0,0.0,0.0,1.0,0.0,0.0
31,1.0,1.0,1.0,1.0,0.0,66772.0,0.0,123.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
32,0.0,0.0,3.0,1.0,0.0,63551.0,1559.0,239.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
33,1.0,0.0,2.0,0.0,1.0,16771.0,0.0,55.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
34,1.0,1.0,1.0,0.0,1.0,39076.0,10888.0,145.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
35,0.0,1.0,0.0,0.0,0.0,23914.0,8833.0,121.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
36,1.0,0.0,1.0,0.0,1.0,16167.0,0.0,95.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
37,0.0,1.0,1.0,1.0,0.0,42782.0,1392.0,260.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0
38,1.0,1.0,2.0,1.0,1.0,21178.0,0.0,1500.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0,1.0,24988.0,5956.0,143.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0
40,0.0,0.0,2.0,1.0,1.0,12862.0,6804.0,127.0,360.0,0.0,1.0,0.0,1.0,0.0,0.0
41,1.0,1.0,0.0,1.0,1.0,48658.0,3192.0,158.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
42,1.0,0.0,1.0,0.0,1.0,19159.0,0.0,186.0,180.0,1.0,0.0,0.0,0.0,0.0,1.0
43,0.0,1.0,2.0,0.0,0.0,7845.0,0.0,83.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0
44,1.0,1.0,1.0,1.0,0.0,27655.0,13034.0,236.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0
45,0.0,0.0,3.0,0.0,0.0,28419.0,5103.0,156.0,240.0,1.0,0.0,0.0,1.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,35147.0,0.0,105.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
47,0.0,1.0,1.0,1.0,1.0,7502.0,3263.0,71.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
48,1.0,0.0,0.0,1.0,0.0,24307.0,1687.0,158.0,120.0,1.0,0.0,0.0,0.0,0.0,1.0
49,0.0,0.0,2.0,1.0,1.0,24972.0,0.0,89.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0
50,1.0,0.0,1.0,1.0,1.0,16321.0,873.0,57.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0
51,1.0,1.0,2.0,0.0,1.0,28401.0,0.0,196.0,180.0,1.0,1.0,0.0,0.0,0.0,1.0
52,1.0,1.0,3.0,0.0,0.0,54453.0,1854.0,136.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0
53,1.0,0.0,0.0,1.0,1.0,23081.0,0.0,227.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
54,0.0,0.0,3.0,1.0,0.0,26982.0,0.0,115.0,120.0,1.0,0.0,0.0,1.0,0.0,0.0
55,0.0,0.0,0.0,1.0,0.0,26271.0,2725.0,114.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
56,0.0,1.0,1.0,1.0,0.0,39623.0,1825.0,154.0,120.0,1.0,1.0,0.0,1.0,0.0,0.0
57,1.0,1.0,0.0,0.0,1.0,41722.0,0.0,103.0,240.0,0.0,1.0,0.0,0.0,1.0,0.0
58,0.0,0.0,1.0,0.0,1.0,20451.0,2647.0,153.0,360.0,0.0,1.0,0.0,0.0,0.0,1.0
59,0.0,1.0,0.0,0.0,0.0,40736.0,0.0,141.0,120.0,1.0,0.0,0.0,0.0,0.0,1.0
60,1.0,1.0,2.0,1.0,0.0,12509.0,2717.0,0.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
61,0.0,1.0,3.0,0.0,1.0,26903.0,0.0,197.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
62,0.0,1.0,0.0,1.0,0.0,18820.0,10242.0,48.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
63,0.0,0.0,2.0,1.0,1.0,31904.0,0.0,219.0,180.0,2.0,1.0,0.0,1.0,0.0,0.0
64,1.0,0.0,0.0,0.0,1.0,19362.0,0.0,165.0,999.0,0.0,0.0,0.0,1.0,0.0,0.0
65,0.0,0.0,2.0,1.0,0.0,18567.0,945.0,194.0,180.0,1.0,1.0,0.0,0.0,0.0,1.0
66,1.0,1.0,0.0,0.0,1.0,24380.0,0.0,200.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
67,1.0,1.0,0.0,0.0,0.0,26600.0,0.0,166.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0
68,0.0,1.0,3.0,0.0,0.0,20750.0,4093.0,8.0,180.0,1.0,1.0,0.0,1.0,0.0,0.0
69,0.0,1.0,1.0,0.0,0.0,13428.0,0.0,157.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
70,0.0,0.0,0.0,1.0,1.0,16180.0,0.0,259.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0
71,0.0,1.0,3.0,0.0,1.0,12956.0,0.0,139.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
72,1.0,0.0,1.0,0.0,0.0,29463.0,0.0,0.0,240.0,0.0,1.0,0.0,0.0,1.0,0.0
73,0.0,0.0,0.0,0.0,0.0,33764.0,1966.0,218.0,180.0,1.0,0.0,0.0,0.0,0.0,1.0
74,1.0,1.0,0.0,0.0,1.0,17654.0,0.0,229.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
75,1.0,0.0,0.0,1.0,1.0,13358.0,0.0,136.0,360.0,0.0,1.0,1.0,0.0,0.0,0.0
76,0.0,1.0,3.0,1.0,0.0,35954.0,10380.0,96.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0
77,0.0,0.0,0.0,1.0,1.0,17596.0,0.0,223.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
78,0.0,1.0,3.0,0.0,1.0,21126.0,1876.0,108.0,180.0,2.0,1.0,0.0,0.0,1.0,0.0
79,1.0,0.0,1.0,0.0,1.0,24253.0,0.0,145.0,240.0,0.0,1.0,0.0,1.0,0.0,0.0
80,0.0,0.0,1.0,0.0,0.0,15423.0,4143.0,218.0,240.0,1.0,1.0,0.0,0.0,1.0,0.0
81,1.0,0.0,0.0,1.0,0.0,24681.0,1114.0,197.0,180.0,1.0,1.0,0.0,1.0,0.0,0.0
82,0.0,1.0,3.0,1.0,0.0,29384.0,0.0,168.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0
83,1.0,0.0,3.0,0.0,0.0,38062.0,12667.0,147.0,180.0,0.0,1.0,0.0,1.0,0.0,0.0
84,0.0,1.0,2.0,0.0,1.0,9005.0,0.0,116.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
85,0.0,0.0,2.0,0.0,0.0,31410.0,2267.0,149.0,120.0,1.0,0.0,0.0,1.0,0.0,0.0
86,1.0,0.0,3.0,1.0,1.0,17831.0,0.0,178.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
87,1.0,0.0,1.0,1.0,1.0,46920.0,2274.0,148.0,240.0,0.0,1.0,0.0,0.0,1.0,0.0
88,0.0,0.0,2.0,1.0,1.0,14220.0,0.0,190.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0
89,1.0,1.0,2.0,0.0,0.0,39740.0,6517.0,128.0,120.0,1.0,1.0,0.0,1.0,0.0,0.0
90,0.0,0.0,3.0,0.0,1.0,23246.0,0.0,151.0,360.0,1.0,1.0,0.0,1.0,0.0,0.0
91,1.0,1.0,2.0,1.0,1.0,20955.0,0.0,147.0,180.0,1.0,0.0,0.0,0.0,0.0,1.0
92,0.0,0.0,1.0,1.0,1.0,15056.0,1007.0,135.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
93,1.0,0.0,2.0,1.0,0.0,27752.0,1870.0,262.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
94,0.0,1.0,1.0,0.0,0.0,19114.0,4919.0,91.0,120.0,2.0,1.0,0.0,0.0,1.0,0.0
95,0.0,1.0,1.0,1.0,0.0,10784.0,0.0,80.0,360.0,0.0,0.0,0.0,1.0,0.0,0.0
96,1.0,1.0,2.0,0.0,1.0,10442.0,5775.0,0.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
97,0.0,1.0,0.0,1.0,0.0,53054.0,4897.0,150.0,240.0,0.0,1.0,0.0,0.0,1.0,0.0
98,1.0,1.0,1.0,1.0,0.0,10702.0,0.0,89.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0
99,0.0,0.0,1.0,1.0,0.0,19408.0,0.0,136.0,240.0,1.0,0.0,0.0,0.0,1.0,0.0
100,0.0,1.0,0.0,1.0,0.0,8154.0,2671.0,176.0,120.0,0.0,1.0,0.0,0.0,0.0,1.0
101,1.0,1.0,1.0,1.0,0.0,14515.0,0.0,114.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0
102,0.0,1.0,3.0,0.0,0.0,14241.0,7880.0,146.0,180.0,0.0,1.0,0.0,1.0,0.0,0.0
103,1.0,1.0,0.0,0.0,1.0,31690.0,0.0,160.0,999.0,1.0,1.0,0.0,0.0,1.0,0.0
104,1.0,1.0,1.0,0.0,0.0,11915.0,0.0,128.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
105,0.0,0.0,3.0,0.0,0.0,45865.0,0.0,111.0,240.0,1.0,1.0,0.0,0.0,1.0,0.0
106,1.0,0.0,1.0,1.0,1.0,41283.0,0.0,-50.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
107,0.0,0.0,1.0,0.0,1.0,26289.0,1912.0,150.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
108,1.0,1.0,3.0,0.0,0.0,14082.0,5482.0,201.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
109,0.0,0.0,1.0,1.0,0.0,24958.0,0.0,155.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1.0,0.0,2.0,0.0,1.0,9437.0,0.0,199.0,360.0,0.0,1.0,0.0,0.0,0.0,1.0
111,1.0,0.0,1.0,1.0,0.0,23545.0,0.0,138.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0
112,1.0,0.0,3.0,0.0,1.0,16134.0,13010.0,102.0,240.0,1.0,0.0,0.0,0.0,0.0,1.0
113,1.0,1.0,0.0,1.0,0.0,33470.0,0.0,196.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
114,0.0,1.0,2.0,1.0,0.0,17537.0,0.0,145.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0
115,0.0,0.0,3.0,0.0,1.0,16004.0,0.0,95.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
116,0.0,1.0,0.0,1.0,0.0,12033.0,0.0,177.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
117,1.0,1.0,3.0,1.0,1.0,28947.0,0.0,174.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
118,0.0,0.0,1.0,1.0,1.0,18688.0,0.0,227.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0
119,0.0,1.0,0.0,0.0,0.0,37044.0,2909.0,142.0,240.0,0.0,1.0,0.0,0.0,1.0,0.0
120,1.0,0.0,0.0,1.0,0.0,16735.0,1282.0,180.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
121,1.0,1.0,3.0,1.0,0.0,24668.0,0.0,152.0,240.0,1.0,0.0,0.0,0.0,0.0,1.0
122,1.0,1.0,1.0,0.0,1.0,12144.0,1749.0,198.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
123,1.0,0.0,0.0,0.0,1.0,27257.0,4491.0,57.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0
124,0.0,1.0,1.0,1.0,0.0,20982.0,3456.0,227.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0
125,1.0,0.0,3.0,1.0,0.0,25235.0,2377.0,152.0,180.0,0.0,1.0,0.0,1.0,0.0,0.0
126,1.0,0.0,0.0,1.0,0.0,25250.0,2934.0,195.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
127,1.0,0.0,2.0,0.0,1.0,47062.0,9862.0,128.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
128,1.0,1.0,0.0,0.0,1.0,21975.0,1781.0,132.0,180.0,1.0,1.0,0.0,0.0,1.0,0.0
129,0.0,0.0,3.0,1.0,0.0,32301.0,2946.0,74.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
130,0.0,0.0,2.0,0.0,0.0,17537.0,0.0,169.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
131,1.0,1.0,0.0,0.0,1.0,10729.0,0.0,35.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0
132,1.0,0.0,2.0,1.0,0.0,18385.0,4152.0,39.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0
133,1.0,1.0,0.0,0.0,0.0,13153.0,1372.0,196.0,240.0,1.0,0.0,0.0,0.0,1.0,0.0
134,0.0,0.0,2.0,0.0,0.0,38599.0,1352.0,148.0,120.0,0.0,1.0,0.0,1.0,0.0,0.0
135,0.0,1.0,0.0,0.0,0.0,25870.0,0.0,130.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
136,0.0,0.0,0.0,0.0,0.0,41739.0,0.0,110.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
137,1.0,0.0,3.0,0.0,1.0,15757.0,0.0,242.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0
138,0.0,1.0,3.0,0.0,0.0,16308.0,0.0,63.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
139,1.0,0.0,0.0,0.0,1.0,28329.0,1166.0,275.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0
140,0.0,0.0,2.0,0.0,0.0,10722.0,10340.0,179.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
141,0.0,1.0,1.0,0.0,0.0,28253.0,0.0,222.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0
142,0.0,1.0,0.0,1.0,1.0,21562.0,4728.0,39.0,360.0,0.0,1.0,1.0,0.0,0.0,0.0
143,1.0,1.0,3.0,0.0,1.0,15239.0,0.0,70.0,360.0,1.0,0.0,0.0,1.0,0.0,0.0
144,1.0,0.0,1.0,0.0,1.0,19519.0,0.0,184.0,360.0,0.0,0.0,0.0,1.0,0.0,0.0
145,1.0,0.0,1.0,0.0,0.0,8186.0,0.0,134.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0
146,1.0,1.0,1.0,0.0,1.0,47411.0,3739.0,111.0,240.0,0.0,1.0,0.0,0.0,1.0,0.0
147,1.0,1.0,0.0,1.0,1.0,22365.0,2643.0,166.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
148,1.0,0.0,1.0,0.0,1.0,9966.0,2458.0,117.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0
149,0.0,0.0,2.0,1.0,1.0,30901.0,0.0,178.0,360.0,1.0,1.0,0.0,1.0,0.0,0.0
150,1.0,1.0,1.0,1.0,0.0,15916.0,8198.0,151.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
151,0.0,1.0,1.0,0.0,0.0,39265.0,0.0,224.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0
152,1.0,1.0,1.0,0.0,0.0,50259.0,0.0,112.0,180.0,1.0,1.0,0.0,0.0,1.0,0.0
153,1.0,1.0,3.0,1.0,0.0,40229.0,0.0,133.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0
154,0.0,0.0,3.0,1.0,1.0,16742.0,0.0,0.0,240.0,0.0,1.0,0.0,1.0,0.0,0.0
155,1.0,1.0,0.0,0.0,0.0,28845.0,0.0,195.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0
156,1.0,0.0,1.0,1.0,0.0,29967.0,4489.0,287.0,360.0,0.0,1.0,0.0,1.0,0.0,0.0
157,0.0,0.0,3.0,1.0,0.0,26563.0,1592.0,108.0,360.0,1.0,1.0,0.0,1.0,0.0,0.0
158,0.0,1.0,2.0,0.0,0.0,10798.0,0.0,110.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
159,0.0,0.0,2.0,0.0,1.0,16691.0,2731.0,85.0,180.0,0.0,0.0,0.0,1.0,0.0,0.0
160,0.0,0.0,3.0,0.0,1.0,20167.0,2151.0,148.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
161,1.0,0.0,3.0,1.0,1.0,29057.0,0.0,174.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0
162,1.0,0.0,1.0,1.0,1.0,35074.0,0.0,145.0,240.0,1.0,0.0,0.0,0.0,1.0,0.0
163,1.0,1.0,2.0,0.0,1.0,19300.0,0.0,140.0,120.0,1.0,0.0,0.0,0.0,1.0,0.0
164,0.0,0.0,1.0,0.0,1.0,16710.0,0.0,202.0,120.0,0.0,1.0,0.0,0.0,0.0,1.0
165,1.0,1.0,2.0,0.0,0.0,21876.0,1493.0,132.0,120.0,0.0,1.0,0.0,0.0,0.0,1.0
166,1.0,0.0,1.0,1.0,0.0,17650.0,2297.0,217.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
167,1.0,0.0,1.0,1.0,0.0,66744.0,3065.0,175.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0
168,1.0,1.0,2.0,0.0,1.0,19047.0,0.0,246.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
169,0.0,1.0,3.0,1.0,1.0,7016.0,890.0,96.0,180.0,1.0,1.0,0.0,0.0,0.0,1.0
170,1.0,1.0,3.0,1.0,0.0,6353.0,10003.0,105.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
171,1.0,0.0,0.0,1.0,1.0,40402.0,0.0,86.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
172,0.0,1.0,0.0,1.0,0.0,18696.0,895.0,175.0,240.0,1.0,1.0,0.0,0.0,1.0,0.0
173,0.0,0.0,1.0,1.0,1.0,22080.0,0.0,126.0,240.0,1.0,1.0,0.0,0.0,1.0,0.0
174,1.0,1.0,3.0,0.0,0.0,25357.0,0.0,130.0,180.0,1.0,0.0,0.0,0.0,1.0,0.0
175,0.0,0.0,3.0,1.0,0.0,15119.0,0.0,122.0,240.0,0.0,1.0,0.0,1.0,0.0,0.0
176,0.0,0.0,0.0,1.0,1.0,22014.0,0.0,84.0,360.0,0.0,0.0,0.0,1.0,0.0,0.0
177,0.0,1.0,0.0,1.0,1.0,17234.0,1245.0,150.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0
178,0.0,1.0,0.0,1.0,1.0,14178.0,6377.0,132.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
179,0.0,1.0,1.0,1.0,0.0,11403.0,0.0,125.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0
180,0.0,1.0,2.0,1.0,0.0,24544.0,6394.0,187.0,240.0,1.0,1.0,0.0,0.0,1.0,0.0
181,0.0,0.0,2.0,1.0,0.0,19272.0,37830.0,85.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
182,1.0,0.0,2.0,1.0,0.0,19434.0,4323.0,227.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
183,1.0,0.0,3.0,1.0,1.0,13159.0,0.0,139.0,180.0,1.0,1.0,0.0,1.0,0.0,0.0
184,0.0,1.0,3.0,1.0,1.0,10625.0,1805.0,143.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
185,1.0,1.0,3.0,0.0,1.0,35808.0,0.0,136.0,120.0,0.0,1.0,0.0,0.0,0.0,1.0
186,0.0,1.0,2.0,0.0,1.0,29016.0,0.0,58.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0
187,1.0,1.0,2.0,0.0,1.0,30394.0,0.0,154.0,240.0,0.0,1.0,0.0,1.0,0.0,0.0
188,0.0,1.0,1.0,0.0,0.0,23085.0,1570.0,167.0,120.0,1.0,0.0,0.0,1.0,0.0,0.0
189,0.0,0.0,3.0,1.0,0.0,23704.0,0.0,110.0,180.0,1.0,0.0,0.0,1.0,0.0,0.0
190,1.0,1.0,3.0,1.0,0.0,23602.0,0.0,48.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0
191,1.0,0.0,0.0,0.0,0.0,35565.0,1672.0,179.0,240.0,1.0,1.0,0.0,0.0,0.0,1.0
192,0.0,0.0,2.0,0.0,1.0,19974.0,6932.0,65.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0
193,0.0,0.0,3.0,1.0,0.0,24893.0,0.0,121.0,180.0,0.0,0.0,0.0,1.0,0.0,0.0
194,0.0,0.0,2.0,1.0,1.0,18369.0,0.0,46.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
195,1.0,0.0,0.0,1.0,1.0,17937.0,0.0,62.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0
196,0.0,1.0,1.0,0.0,0.0,26596.0,0.0,126.0,240.0,1.0,0.0,0.0,1.0,0.0,0.0
197,0.0,1.0,0.0,1.0,1.0,24725.0,0.0,74.0,240.0,1.0,1.0,0.0,0.0,1.0,0.0
198,0.0,0.0,1.0,1.0,0.0,17271.0,0.0,58.0,180.0,0.0,1.0,0.0,1.0,0.0,0.0
199,1.0,0.0,2.0,1.0,1.0,27440.0,10900.0,94.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
200,0.0,1.0,2.0,1.0,0.0,10939.0,0.0,90.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
201,0.0,1.0,1.0,1.0,1.0,10281.0,0.0,184.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
202,0.0,0.0,3.0,1.0,0.0,13267.0,0.0,151.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0
203,0.0,1.0,2.0,0.0,1.0,17622.0,0.0,180.0,240.0,1.0,0.0,0.0,0.0,0.0,1.0
204,0.0,1.0,0.0,1.0,0.0,18681.0,0.0,154.0,240.0,1.0,0.0,0.0,0.0,0.0,1.0
205,1.0,1.0,0.0,1.0,0.0,12882.0,2524.0,74.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
206,1.0,1.0,2.0,0.0,1.0,20335.0,26993.0,142.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
207,1.0,0.0,2.0,1.0,0.0,32198.0,0.0,99.0,240.0,0.0,1.0,0.0,1.0,0.0,0.0
208,0.0,0.0,2.0,1.0,0.0,25832.0,2135.0,108.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
209,1.0,1.0,3.0,1.0,0.0,16588.0,0.0,246.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0
210,0.0,1.0,2.0,1.0,1.0,11945.0,0.0,89.0,240.0,0.0,1.0,0.0,0.0,0.0,1.0
211,0.0,1.0,2.0,1.0,1.0,15640.0,0.0,127.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0
212,1.0,0.0,2.0,0.0,1.0,31260.0,0.0,86.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0
213,1.0,0.0,3.0,1.0,0.0,11899.0,3200.0,100.0,180.0,1.0,0.0,0.0,0.0,0.0,1.0
214,0.0,1.0,1.0,1.0,0.0,21195.0,2963.0,133.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
215,0.0,0.0,3.0,0.0,0.0,27142.0,1708.0,123.0,120.0,1.0,1.0,0.0,1.0,0.0,0.0
